,0,1,2
0,54,acceuil / politesse,cet espace a perdu de son intérêt. on y trouvait un service compétent et agréable maintenant il ne reste plus que le compétent.  pour combien de temps encore ... avec les économies d'orange ?
1,685,relation commercial,"impossible d'avoir un conseiller par téléphone (un comble!!!), leur numéro est introuvable où que ce soit!?! je mettrais 0 étoile si c'était possible!"
2,1665,acceuil / politesse,accueil excellent temps d'attente cours
3,1437,acceuil / politesse,très bon accueil
4,1587,acceuil / politesse,parsonnel aimable et efficace
5,1279,acceuil / politesse,"didier a l'accueil est très désagréable, il n'a pas du tout envie d'être là et il est agacé par chaque client. le reste de l'équipe est très dynamique dommage le premier accueil est le plus important."
6,1689,acceuil / politesse,le personnel n'est vraiment pas orienté client ! franchement je déconseille cette boutique !!!
7,830,acceuil / politesse,"personnel plus préoccupé par le papotage entre amie que par le client.  orange veut faire la banque ....il devrait commencer par choisir son personnel. après 15 minutes d'attente  , la personne n a pas vu qu'elle avait un client..mais sa copine part en vacance demain..ouf ...!!!  et moi ...je prendrais un abonnement chez le concurrent."
8,2385,emotion,"très déçue de orange,chez qui pourtant je suis cliente!!! j'ai été alpagué dans la rue pour participer à des activités ludiques:tirages au sort,biscuits et pompoms de bonnet,lol.  pressée par le temps ,puisque je travaille je n'avais pas envie d'y aller,mais cette personne a insisté et j'ai voulu lui faire plaisir; je regrette amèrement ,cette décision. j'ai 3 enfants et je me suis dit,je vais me prêter au jeu,pour eux. sauf que,vous n'avez le droit de faire le pompom, qu'une fois par jour et par personne, ce que je comprends car des gens abusent, donc une personne :le soit disant responsable a dit que je pouvais venir durant 3j; afin de pouvoir confectionner ,pour mes enfants ces fameux pompoms,aujourd'hui un employé me dit que je ne peux pas faire de pompom: le responsable lui dit que si,1 par personne et par jour,du coup tous ses collègues me sont tombés dessus et m'ont agressé violemment verbalement et le responsable a fini par me dire que c'était la dernière fois que je pouvais venir, je lui ai rétorqué que je n'étais pas une mendiante et qu'au vu de l'accueil que j'ai reçu, que c'était la dernière fois que je viendrais!!! je tiens à préciser que je suis cadre et liée par le secret professionnel,j'ai une situation,heureusement pour moi!! merci orange pour l'invitation forcée et le retour fait à vos clients.  hier un monsieur énervé etait sur le point de taper ce fameux responsable, chercher l'erreur, je comprends mieux maintenant.  le personnel est exécrable, il ne cesse de parler entre eux et se critique entre eux et ne s'occupe pas de nous et garde les cadeaux du tirage au sort pour eux,eh bien continuez et joyeux noël!!! la prochaine fois, je ne m'arrêterais pour rien au monde, mieux vaut aller au magasin on est mieux servi et plus respecté !!!! vive orange!!!! je pense fortement à tout annuler du coup, chez vous car,vous ne me méritez pas en tant que cliente !!!! vous avez mon plus grand mépris!!!"
9,814,temps d'attente,"juste minable, une fois qu'on vous a enregistré à l entrée, on vous place comme une bête de foire dans la boutique et après plus rien... aucun vendeur, personne ne vous répond... super. pensez à poser un rtt pour n'importe quelle opération car c'est pire que la poste"
10,191,temps d'attente,beaucoup de personnel avec peu d'efficacité. attente interminable
11,781,problème technique,"c'est presque réconfortant de lire ces avis (très) négatifs...on se sent moins seul. j'habite l'arrondissement et le réflexe ""naturel"" était donc d'aller dans cette boutique. je promets que c'est fini...trois expériences lamentables en quelques mois. la moins lamentable était celle où le vendeur était simplement incapable de répondre à ma demande, mais gentiment...pour le reste l'on se demande ce qui autorise nos interlocuteurs de cette boutique à faire preuve de tant de mépris allié à tant d'incompétence. a fuir, absolument, et définitivement"
12,1723,relation commercial,"service déplorable, personnel inutile et détestable, honte à orange."
13,490,emotion ,correct
14,2143,emotion ,"prise de rendez vous pour bénéficier une offre de reprise avantageuse pour mon téléphone. le commercial ne connaît pas l'offre puis me propose un prix qui ne correspond en rien à l'offre reçue par mail. on m'indique ""qu'il ne faut pas croire tout ce qu'il y a dans les pubs"".. ah bon ? il me semblait pourtant que celles ci étaient réglementées. nullisime au possible. aucun geste commercial, jetais partant venu dans l'optique de regrouper d'autres forfaits auprès d'orange... ça ne sera pas le cas malheureusement."
15,165,relation commercial,service technique top et payant...service accueil magasin excellent....service conseil vente produits equipements (mobiles etc...) hors forfait c'est une catastrophe...  exemple: si vous quitté votre smartphone samsung j3 2016 pour un smartphone samsung j6+ ...penser à demander une nouvelle carte sim...et ainsi demander si votre code pin n' est pas changé non plus car vous pouvez avoir une mauvaise surprise chez vous!   la conseillère vente ....dans mon cas...elle  t'apporte ton smartphone sans aucun remerciement du l'achat...c'est normal car pour elle le client c'est juste 1 numéro avec un nom.  dommage... car orange depense une fortune dans des magnifiques pubilicités sans oublier la technologie investi.. pour avoir un personnel dans les magasins sans aucune qualité du service relation client🤔 remercier un client orange qui se deplace en magasin et qui achete surplace merité un service client plus professionnel non 🤨
16,1280,acceuil / politesse,"l'équipe a l'air dynamique, mais j'ai été accueilli très froidement par un certain d., qui s'est contenté de me renvoyer vers le service client téléphonique d'une façon très désagréable et condescendante. compte-tenu des prix auxquels sont vendus mobiles et forfaits, c'est dommage d'avoir cette impression de déranger..."
17,681,temps d'attente ,"ce qui est formidable, ce sont les réponses robotisées ""nous prenons en compte votre avis et nous faisons tout pour réduire le temps d'attente...etc""  et visiblement, aucun changement dans cette agence. quand à l'application ""mes boutiques"", elle est introuvable. pourquoi ne peut-on pas mettre 0 étoile ?"
18,2209,emotion,(traduit par google) haut  (original) top
19,1085,acceuil / politesse,"si je pouvais ne mettre 0 étoile je l'aurais fait. on a eu un refus pur et simple de nous servir sous prétexte que ""les clients sosh sont livrés à eux-même c'est le principe du service"". sauf que fournir une carte sim c'est le service minimum qu'on ne peut pas inventer.  soit le vendeur se foutait ouvertement de nous, soit il faut être mins arabe que nous pour avoir un service correct.  (edit : me donner un lien valide quand on me répond ça pourrait être utile)"
20,2198,emotion,"j’aurais dû rester couchée le jour où j ai décidé de regrouper mon forfait mobile sfr et mon forfait internet orange ... 1 mois 1/2 de galères (coupure de ligne, demande de restitution d un materiel que j avais deja rendu etc etc etc ...) j ai hâte que mon abonnement orange se termine.  ça ne sera peut être pas mieux ailleurs mais avec un peu de chance je serai a minima reçue aimablement lorsque je dis que je n en peux plus de tous ces dysfonctionnements  belle boutique mais malheureusement ça s arrête là d autant plus qu on vous répond qu on ne peut rien pour vous ......... conclusion : visitez la boutique puis faites vite demi tour ..."
21,365,nan,orange shop that has mobile phones to buy and all services that is provided by orange.
22,1123,emotion,"c'est une franchise... une très mauvaise expérience - sur le plan technique cette agence a réussi à m'annuler deux lignes de téléphone... à la grande surprise des services techniques d'orange ! une très mauvaise réputation que partage ""officieusement"" la boutique orange rue du commerce - à éviter pour leur incompétence et leurs prix bizarrement plus élevés que dans les boutiques orange plu officielles - la manager est à malheureusement à l'image du service..."
23,2050,acceuil / politesse,accueil boutique sympa on vous prend en charge rapidement pour les achats comme pr le reste.
24,1760,relation commercial,"boutique orange très correcte. agent à l'entrée qui régule bien les clients pour l attente, très  aimable et très efficace les conseillers sont aussi très pro gc 92"
25,319,temps d'attente n,très bon accueil mais attente un peu longue malgré un rendez vous pris la veille en service pro.
26,1647,emotion,bien quand personne
27,2572,emotion,jeune vendeur agreable dynamique. binne prestation. je recommande !
28,1652,emotion,excellent service
29,318,acceuil / politesse,accueil froid et long
30,2548,acceuil / politesse,"une honte. sidérant d'être aussi mal reçu. jamais vu ça. cela faisait bien longtemps que je n'étais pas venu, et j'avais été très bien accueilli. mais là... une catastrophe ! quel dommage. j'espère sincerement que les conseillers sont d'une autre envergure...  je suis très sensible à la rapidité de votre réaction. je ne manquerai pas de prendre contact avec vos services prochainement. mais quand même, un conseil, soyez vigilant à la qualité de votre accueil. j'ai aussi travaillé de longues années en boutique..."
31,725,acceuil / politesse,personnel aimable et serviable à l’écoute et cherche les meilleurs prix pour vous  je recommande
