id_review,caption,timestamp,rating,username,n_review_user,n_photo_user,url_user
ChdDSUhNMG9nS0VJQ0FnSUMwNUxPYzF3RRABGhZNRUE0N3dYbE44U055WVZzcTFiVnJB,,il y a 17 heures,2019-09-16 11:31:02.902938,4 étoiles,Alex Vishnevskiy,0,0,https://www.google.com/maps/contrib/106903250989588287024/reviews?hl=fr-FR
ChZDSUhNMG9nS0VJQ0FnSUMwcEpteVF3EAEaFnNncVRoWkhqbXA5UmlxMG9Cc18wdEE,Ferme dimanche.... 🥺🥺,il y a 23 heures,2019-09-16 11:31:02.902938,5 étoiles,Красимир Априлски,0,0,https://www.google.com/maps/contrib/113354727040501040409/reviews?hl=fr-FR
ChZDSUhNMG9nS0VJQ0FnSUMwbU1ySEN3EAEaFmg0bndYV0dEN01rSldxOEZ0ZHNGSUE,,il y a 2 jours,2019-09-16 11:31:02.902938,5 étoiles,Mihai-Catalin Baloiu,0,0,https://www.google.com/maps/contrib/113123726377359381843/reviews?hl=fr-FR
ChZDSUhNMG9nS0VJQ0FnSUMweU9yUmRnEAEaFnBwamtWUHo1ak56bjNaN1FhZGkzNHc,,il y a 3 jours,2019-09-16 11:31:02.902938,5 étoiles,Cat Videos .,0,0,https://www.google.com/maps/contrib/103287587365766968719/reviews?hl=fr-FR
ChZDSUhNMG9nS0VJQ0FnSUMwOE1uU0dREAEaFkVsS3BQTTlPOUZTb1otQUdONDV4VXc,,il y a 3 jours,2019-09-16 11:31:02.902938,5 étoiles,Gambo Sebu,0,0,https://www.google.com/maps/contrib/104129116444842942640/reviews?hl=fr-FR
ChdDSUhNMG9nS0VJQ0FnSUMwOExiYWxBRRABGhZKa0dsWHZ5V3cwQnJPUlp0bWI3TWtn,,il y a 3 jours,2019-09-16 11:31:02.902938,1 étoile,Nadim Kobeissi,0,0,https://www.google.com/maps/contrib/105957546361156662159/reviews?hl=fr-FR
ChdDSUhNMG9nS0VJQ0FnSUMwME9xODhRRRABGhZtS0xGZUhkYU5WQS1qOGVITGc3NVV3,,il y a 4 jours,2019-09-16 11:31:02.902938,5 étoiles,Cte Michel de Soulages,0,0,https://www.google.com/maps/contrib/105431571403034364563/reviews?hl=fr-FR
ChZDSUhNMG9nS0VJQ0FnSUMwME9qN0p3EAEaFnJQektLWEtmU0cwcXNnaU9hX0I0UFE,,il y a 4 jours,2019-09-16 11:31:02.902938,5 étoiles,Farid Sebbagh,0,0,https://www.google.com/maps/contrib/114706546054048993949/reviews?hl=fr-FR
ChdDSUhNMG9nS0VJQ0FnSURVdjUtSnF3RRABGhZYYS1VTHl6cl8yUnl6N0hwY3R4aTJR,,il y a 6 jours,2019-09-16 11:31:02.918539,5 étoiles,Laila Lilah,0,0,https://www.google.com/maps/contrib/100922132289081189342/reviews?hl=fr-FR
ChZDSUhNMG9nS0VJQ0FnSURVMzhIT1hREAEaFmRpbEV2ZGJxMkdsSFB5ZkE0STNOQWc,,il y a 6 jours,2019-09-16 11:31:02.918539,4 étoiles,Armand Ramirez,0,0,https://www.google.com/maps/contrib/101976530016333756706/reviews?hl=fr-FR
ChZDSUhNMG9nS0VJQ0FnSURVeDZiMUR3EAEaFjc0N1Z2eDJPbHkzUk1ackRkSE8telE,,il y a une semaine,2019-09-16 11:31:02.918539,5 étoiles,M H,0,0,https://www.google.com/maps/contrib/101112033235611660244/reviews?hl=fr-FR
ChZDSUhNMG9nS0VJQ0FnSURVeF9xb2R3EAEaFkF5NkRJbVBvZjdxTGZvbTktWUNrTnc,Nul aucun acceuil pour leur client orange c est du chiffre et mensonge commercial vraiment de pire en pire et lorsque vous avez raisons sur leurs demarche mensongères et commercial ils vous disent appeler le sav qui ce trouve en tunisie et qui a 2400 km d ici ne savent pas vous reglet votre problemes parce que deja ils comprenne pas pourquoi c est nul en france sont incapables de gerer m as pannes Visité en septembre,il y a une semaine,2019-09-16 11:31:02.918539,1 étoile,Fati Ayeb,0,0,https://www.google.com/maps/contrib/113011705094574921707/reviews?hl=fr-FR
ChdDSUhNMG9nS0VJQ0FnSURVeDZMV2dBRRABGhZVY2E2RHhLMXZoOGItcUhOWlFISWJB,(Traduit par Google) Attendu dans une file d'attente de 30 minutes que les employés me disent qu'ils ne vendent qu'un seul forfait mobile trop cher de 20 Go de données pour 50 euros. Ils n'offrent rien d'autre. Un petit.  (Original) Waited in a 30 minute line for the employees to tell me that they only sell one overpriced mobile plan of 20GB of data for 50 euro. They do not offer anything else. A petty.,il y a une semaine,2019-09-16 11:31:02.918539,1 étoile,Felipe Gonzalez Alzaga,0,0,https://www.google.com/maps/contrib/114934105660802341847/reviews?hl=fr-FR
ChdDSUhNMG9nS0VJQ0FnSURVMC1mY3BnRRABGhZOSVU0bFcyUUJ4cmRfUERoek5SN3B3,"Passage à la boutique Orange des Champs Elysées, seule boutique apparemment ayant un service de dépannage de smartphones. Prise en charge par un technicien souriant et aimable après 5 mn d'attente, les réparations ont été effectuées après que les explications (claires et précises) m'ont été fournies. Un seul regret : d'apprendre que si une réinitialisation de mon téléphone avait dû être faite, la sauvegarde de toutes mes données m'auraient coûté 9,00 € TTC. Ce qui me choque ce n'est pas tant le faible montant de cette opération, mais le fait que la fidélité du client (près de 10 ans chez Orange) ne compte pas... J'ai connu Orange beaucoup plus attentif à sa clientèle que maintenant. Restons positif pour cette opération. 20 mn plus tard, tout était réglé.",il y a une semaine,2019-09-16 11:31:02.918539,4 étoiles,CLAIRE VICTOR,0,0,https://www.google.com/maps/contrib/100283724470959491107/reviews?hl=fr-FR
ChdDSUhNMG9nS0VJQ0FnSURVby0tazJnRRABGhZmc2oyMG5QUWZISnNOZmVIcFVsaGFR,(Traduit par Google) Le personnel amical mais longue attente  (Original) Friendly staff but long wait,il y a une semaine,2019-09-16 11:31:02.918539,5 étoiles,Lea Liban,0,0,https://www.google.com/maps/contrib/104377652320816018969/reviews?hl=fr-FR
ChdDSUhNMG9nS0VJQ0FnSURVbzlES3NnRRABGhZ6WjVuTTZlTmNQWElLdjBvZlpTOTZ3,,il y a une semaine,2019-09-16 11:31:02.918539,5 étoiles,Christian Okouna,0,0,https://www.google.com/maps/contrib/101267008407440967466/reviews?hl=fr-FR
ChdDSUhNMG9nS0VJQ0FnSURVMVktQnlnRRABGhZabzdFUDJJWjExa2hjbm05cFlLeURR,,il y a 2 semaines,2019-09-16 11:31:02.918539,5 étoiles,Isabelle Jacquot,0,0,https://www.google.com/maps/contrib/102114336206632025084/reviews?hl=fr-FR
ChZDSUhNMG9nS0VJQ0FnSURVMmZ6WVBnEAEaFk82MUZCZXhrWHU5MmcxMUFaNDdJSXc,Accueil très chaleureux et agréable. Conseiller très  à  l ecoute très  humain respectable envers personne très  vulnérable qui est très  rare de nos jours. Julien m a apporté une aide très précieuse pour pouvoir envoyer  mon dossier d abonnement à  orange telecom. Je le remercie infiniment. Garçon très  professionnel  et compétent. Boutisue très  agréable même si attente. Je le recommande et suis ravie  d'être aller là.,il y a 2 semaines,2019-09-16 11:31:02.918539,5 étoiles,Mariem Elkadousy,0,0,https://www.google.com/maps/contrib/110082775702197014646/reviews?hl=fr-FR
ChZDSUhNMG9nS0VJQ0FnSURVcWJEVlF3EAEaFmlleEdzb0pzV2xONkxjTTN5WEVuRFE,,il y a 2 semaines,2019-09-16 11:31:02.918539,4 étoiles,Annie Denis,0,0,https://www.google.com/maps/contrib/102863869679344059340/reviews?hl=fr-FR
ChdDSUhNMG9nS0VJQ0FnSURVeWVHYS1BRRABGhZta1lqMDdpcUk0WURMOVBHSlJIYXNR,,il y a 2 semaines,2019-09-16 11:31:02.934139,3 étoiles,jayoung kim,0,0,https://www.google.com/maps/contrib/106988084974862974545/reviews?hl=fr-FR
ChZDSUhNMG9nS0VJQ0FnSURVeWFHRGJBEAEaFjBRRkNYWl9IZXRIVHJvbk1ManlNamc,"Je suis rentrée, je cherchais un vendeur a qui m'adresser, je tourne en rond pendant 5 bonnes minutes en voyant que tout le monde est occupé. Je ne savais pas où aller. J'ai demandé a un vendeur occupé pour qu'il me dise que je devais être dirigée à l'entrée par une dame pour qu'elle m'inscrive et m'a amenée jusqu'à elle. Dame qui quand je suis rentrée papotait avec le vigile et qui ne m'a pas vue et donc qui n'est pas venue vers moi. Puis  Quand je vais vers elle, elle me regarde sans me parler en mode ""oui?qu'est ce que vous voulez?"".  Aucun sens de l'accueil, elle est là pour accueillir et orienter les gens, pas pour papoter. Surtout que nous sommes sur les champs Elysées, avenue très fréquentée. Puis après le technicien n'a pas réglé mon problème. Car il ne comprenais pas mon problème. Obligée d'aller ailleurs car problème non résolu",il y a 2 semaines,2019-09-16 11:31:02.934139,2 étoiles,Elodie T,0,0,https://www.google.com/maps/contrib/110581530314844914638/reviews?hl=fr-FR
ChdDSUhNMG9nS0VJQ0FnSURVaVphUDR3RRABGhZMQTZjaDlHR2FCelA3OTVjQl94bVFR,,il y a 2 semaines,2019-09-16 11:31:02.934139,4 étoiles,Victor Marques,0,0,https://www.google.com/maps/contrib/116161721073159030796/reviews?hl=fr-FR
ChZDSUhNMG9nS0VJQ0FnSURVc2ZhaUpREAEaFk4xaXo1VnRWbmZLbWNRWm96WmRrdmc,,il y a 2 semaines,2019-09-16 11:31:02.934139,4 étoiles,arnaldo mazzacchera,0,0,https://www.google.com/maps/contrib/111701073605101134092/reviews?hl=fr-FR
ChdDSUhNMG9nS0VJQ0FnSURVb2YtTzRRRRABGhZTUEZWODY0aExLQUhGTDJjZ1JNU05B,"Accueil sympathique dès l'entrée. Service rapide et attente dans des canapés. Et ouvert les dimanches après midi ! Pratique quand il s'agit d'acheter un accessoire ou d'avoir un conseil (attention: pas de technicien les dimanche !). Boutique spacieuse, du choix dans les articles et pas mal de personnel pour un dimanche.",il y a 3 semaines,2019-09-16 11:31:02.934139,5 étoiles,jean-pascal,0,0,https://www.google.com/maps/contrib/103668007567136360815/reviews?hl=fr-FR
ChdDSUhNMG9nS0VJQ0FnSURVZ2Rfdmt3RRABGhZSQ0tMaVM0WmJzcG1FM21iNXVlSnB3,,il y a 3 semaines,2019-09-16 11:31:02.934139,1 étoile,Marco Baggio,0,0,https://www.google.com/maps/contrib/110414960486702674106/reviews?hl=fr-FR
ChdDSUhNMG9nS0VJQ0FnSURVM3JQODBnRRABGhZZNHFfZk1XY3NZbzhVb2Q2THFxb213,"Bel endroit, mais une attente infinie pire qu'une administration.",il y a 3 semaines,2019-09-16 11:31:02.934139,2 étoiles,nicolas pelard,0,0,https://www.google.com/maps/contrib/101354016456651981028/reviews?hl=fr-FR
ChdDSUhNMG9nS0VJQ0FnSURVbnFDYTNBRRABGhZBODlVcXdvMWlJaGtBSUxtUlkwbmFR,,il y a 3 semaines,2019-09-16 11:31:02.934139,4 étoiles,Guillaume van Renterghem,0,0,https://www.google.com/maps/contrib/114478538723151190046/reviews?hl=fr-FR
ChdDSUhNMG9nS0VJQ0FnSURVOXFPS2dRRRABGhZRaEpoNVVfaGlWQURZYUNkeDNHM0V3,,il y a 3 semaines,2019-09-16 11:31:02.934139,5 étoiles,Eric Milan,0,0,https://www.google.com/maps/contrib/111189561557335808616/reviews?hl=fr-FR
ChZDSUhNMG9nS0VJQ0FnSURVOXNIZVR3EAEaFnhmdWg5aml4TnQxaFA2OVhyVGhITmc,Très bon accueil  merci,il y a 3 semaines,2019-09-16 11:31:02.934139,5 étoiles,Marie Agnes  Plantey,0,0,https://www.google.com/maps/contrib/106706128389933403311/reviews?hl=fr-FR
