id,label,review
2620,accueil / politesse,"mal accueillie, mal informée, et le vendeur agacé. je changerai mon forfait par téléphone  et si l'accueil est le même, je changerai d'opérateur"
966,accueil / politesse,service affligeant. a fuir!
800,accueil / politesse,"personnel désagréable, agressif, pas à l'écoute. attente extrêmement longue. mauvaise organisation. boutique à éviter !"
1689,accueil / politesse,le personnel n'est vraiment pas orienté client ! franchement je déconseille cette boutique !!!
1577,accueil / politesse,"je n’ai pas pour habitude de donner mon avis sur internet. c’est la deuxième fois que je ressors énervé voire choqué de la boutique orange rue duhesme. ma première visite était il y a quelques mois et j’ai été reçu par un vendeur agressif et arrogant (parlait de lui a la troisième personne). et aujourd’hui, deuxième tentative, j’ai été reçu par un vendeur qui ne connaissait pas les produits et faisant preuve de mauvaise volonté (refus de me renseigner).  boutique à éviter si vous ne souhaitez pas perdre votre temps et votre bonne humeur."
407,accueil / politesse,"très bonne accueil, et bien organisé. on s'occupe rapidement de vous et les agents sont serviable."
450,accueil / politesse,"accueil nul , amabilité et compétence proches du néant. fuyez !"
479,accueil / politesse,"accueil exécrable. si orange perd des clients actuellement, cette boutique n'arrangera certainement pas les choses !!! j'ai été reçu aujourd'hui par 2 vendeurs différents (une femme qui m'a abandonné au comptoir ... puis un homme...), tous les 2 désagréables, impolis et qui ont manifestement oublié d'être aimables. le ton est vite monté entre le vendeur et moi-même. au final, vous serez traité de ""client stupide"". donc, allez-y si vous avez envie de vous disputer avec quelqu'un et pour vous défouler, sinon faites demi-tour !!!!! ps: cette boutique ne mérite même pas l'étoile imposée pour pouvoir publier un avis."
1835,accueil / politesse,bon accueil et bon service!
2050,accueil / politesse,accueil boutique sympa on vous prend en charge rapidement pour les achats comme pr le reste.
1345,accueil / politesse,sabrina super women et fahem top model au sourire commercial m'ont aidés et très bien reçu chacun à leur manière. équipe très motivé et bien sympathique. super dans mon quartier.
2183,accueil / politesse,très satisfait de l'accueil 🤗
1437,accueil / politesse,très bon accueil
812,accueil / politesse,nul personnel pas tres avenant c'est juste si on les emmerdes pas pas de réponses concrètes débrouille toi c'est une agence qui sert à rien
1688,accueil / politesse,aimables comme des portes de prison excepté le gentil barbu. on a franchement l'impression de gêner leur partie de candycrush
1666,accueil / politesse,"à fuir!!!! personnel odieux, agressif voire insultant! comment orange peut il laisser un magasin être géré par ce genre d'individu??? les autres commentaires sont pourtant clairs! pour qui nous prend-on, pour qui se prennent-ils!!!!"
1252,accueil / politesse,"""prise en charge rapide mais impression de déranger alors que je demandais à devenir cliente orange, ouverture d'une nouvelle ligne. la personne qui m'a expédiée nous a fait comprendre que c'était compliqué. j'avais les papiers justificatifs demandés mais non imprimés et le """"vendeur"""" n'a pas semblé vouloir m'aider à imprimer tous ces documents, bien que je doute que le magasin ne dispose d'aucune imprimante, ni m'indiquer un centre d'impression à proximité. vous perdez une cliente potentielle au final bravo orange.."""
1840,accueil / politesse,"un opérateur qui a pignon sur rue, cela compte même si les conseillers ne sont pas toujours à la hauteur, c'est à dire au niveau du néophyte....."
1302,accueil / politesse,"accueil en agence horrible. aucune solution aux problèmes rencontré est proposé. les employés du magasin ne vous écoute pas et vous tourne le dos en pleine conversation, ils sont hautins et méprisant. service client plus que médiocre."
1675,accueil / politesse,c'est incroyable la façon irrespectueuse de répondre aux clients.
248,accueil / politesse,"j'y suis allé pour prendre un forfait internet +portable, car nous avions déjà un abonnement fibre orange, nous avons été très bien reçus par le conseillé qui nous a même offert un café, puis nous avons vus avec un de ces collègues pour orange bank, là encore nous avons été très bien accueilli. je recommande vivement cette boutique orange car ce sont des pros qui sont réellement à l'écoute des clients"
1717,accueil / politesse,jamais aussi mal reçue dans une boutique. vendeuse extrêmement agressive et vulgaire.
2058,accueil / politesse,accueil à revoir.
402,accueil / politesse,superbe accueil suite à un vol de portable. un peu d attente mais le café offert pour patienter. gentillesse et disponibilité pour cette agence orange. grand choix de solutions connectées.
