urls;adress
https://www.google.com/maps/place/Boutique+Orange+Champs+Elys%C3%A9es+-+Paris+8/@48.8723279,2.2958006,17z/data=!4m10!1m2!2m1!1sorange+boutiques+paris!3m6!1s0x0:0xe105da317f43fa2c!8m2!3d48.8723225!4d2.2979879!9m1!1b1;Orange Champs Elysees
https://www.google.com/maps/place/Boutique+Orange+Gdt+Al%C3%A9sia+-+Paris+14/@48.8290573,2.3260952,17z/data=!3m1!4b1!4m10!1m2!2m1!1sorange+boutiques+paris!3m6!1s0x0:0xbbf0ac797c0fc277!8m2!3d48.8290529!4d2.3282862!9m1!1b1;Orange Alesia
https://www.google.com/maps/place/Boutique+Orange+Gdt+Italie+2+-+Paris+13/@48.8289506,2.3532482,17z/data=!3m2!4b1!5s0x47e6718e46d99f07:0x7edf0a3a92cdb3db!4m10!1m2!2m1!1sorange+boutiques+paris!3m6!1s0x0:0x57b5b2f281922834!8m2!3d48.8289469!4d2.3554409!9m1!1b1;'Orange Place d''Italie'
https://www.google.com/maps/place/Boutique+Orange+Gdt+-+Charenton+Le+Pont/@48.82591,2.3914413,17z/data=!3m2!4b1!5s0x47e67245c1c2c9e7:0x7edf0a3af44730dc!4m10!1m2!2m1!1sorange+boutiques+paris!3m6!1s0x0:0x66fc665de67d1dd3!8m2!3d48.8259098!4d2.3936248!9m1!1b1;Orange Charenton Le Pont
https://www.google.com/maps/place/Boutique+Orange+Gdt+Vaugirard+-+Paris+15/@48.8400033,2.2988513,17z/data=!4m10!1m2!2m1!1sorange+boutiques+paris!3m6!1s0x0:0x338607cc8cb67661!8m2!3d48.839752!4d2.3013783!9m1!1b1;Orange Vaugirard
https://www.google.com/maps/place/Boutique+Orange+Gdt+Beaugrenelle+-+Paris+15/@48.8470534,2.2825525,17z/data=!3m2!4b1!5s0x47e6700f79465c15:0xe60d010e8548866c!4m10!1m2!2m1!1sorange+boutiques+paris!3m6!1s0x0:0x6c706013552c2a5a!8m2!3d48.8470529!4d2.2847378!9m1!1b1;Orange Beaugrenelle
https://www.google.com/maps/place/Boutique+Orange+Commerce+-+Paris+15/@48.8464969,2.293454,17z/data=!3m1!4b1!4m10!1m2!2m1!1sorange+boutiques+paris!3m6!1s0x0:0xfbcbde0730aabf4b!8m2!3d48.8464951!4d2.2956383!9m1!1b1;Orange Commerce
https://www.google.com/maps/place/Boutique+Orange+Gdt+Rue+de+S%C3%A8vres+-+Paris+6/@48.8498652,2.3215839,17z/data=!3m1!4b1!4m10!1m2!2m1!1sorange+boutiques+paris!3m6!1s0x0:0x157d9586b506d21e!8m2!3d48.8498628!4d2.3237693!9m1!1b1;Orange rue de Sevre
https://www.google.com/maps/place/Boutique+Orange+Passy+-+Paris+16/@48.8580375,2.2788865,17z/data=!3m1!4b1!4m10!1m2!2m1!1sorange+boutiques+paris!3m6!1s0x0:0x4f8573f9c74c617a!8m2!3d48.8580376!4d2.2810793!9m1!1b1;Orange Passy
https://www.google.com/maps/place/Boutique+Orange+St+Michel+-+Paris+5/@48.8523207,2.3416777,17z/data=!3m1!4b1!4m10!1m2!2m1!1sorange+boutiques+paris!3m6!1s0x0:0xd3734ac85bdb0ee1!8m2!3d48.8523196!4d2.3438644!9m1!1b1;Orange St Michel
https://www.google.com/maps/place/Boutique+Orange+Gdt+Les+Halles+-+Paris+1/@48.861467,2.3456459,17z/data=!3m2!4b1!5s0x47e66e18bd28e15d:0xd1063be3809f4cd0!4m10!1m2!2m1!1sorange+boutiques+paris!3m6!1s0x0:0x761da20d4bf57bc1!8m2!3d48.861468!4d2.3478341!9m1!1b1;Orange Les Halles
https://www.google.com/maps/place/Boutique+Orange+Bastille+-+Paris+12/@48.8521935,2.3699824,17z/data=!3m1!4b1!4m10!1m2!2m1!1sorange+boutiques+paris!3m6!1s0x0:0x232ab01f3c7871cc!8m2!3d48.8521926!4d2.3721671!9m1!1b1;Orange Bastille
https://www.google.com/maps/place/Boutique+Orange+R%C3%A9publique+-+Paris+3/@48.8669322,2.3613447,17z/data=!3m1!4b1!4m10!1m2!2m1!1sorange+boutiques+paris!3m6!1s0x0:0xe5b9c4b4161969be!8m2!3d48.8669309!4d2.3635304!9m1!1b1;Orange Republique
https://www.google.com/maps/place/Boutique+Orange+Gdt+-+Bagnolet/@48.865379,2.4144098,17z/data=!3m2!4b1!5s0x47e66d77786c87f1:0x7edf0a3a50531dac!4m10!1m2!2m1!1sorange+boutiques+paris!3m6!1s0x0:0x737ae4552042d645!8m2!3d48.8653782!4d2.4165952!9m1!1b1;Orange Bagnolet
https://www.google.com/maps/place/Boutique+Orange+Gdt+Flandre+-+Paris+19/@48.8888529,2.3727561,17z/data=!3m1!4b1!4m10!1m2!2m1!1sorange+boutiques+paris!3m6!1s0x0:0xd5aa914683fa49f8!8m2!3d48.8888538!4d2.3749459!9m1!1b1;Orange Flandre
https://www.google.com/maps/place/Boutique+Orange+Rue+Duhesme+-+Paris+18/@48.8932173,2.340045,17z/data=!3m1!4b1!4m10!1m2!2m1!1sorange+boutiques+paris!3m6!1s0x0:0x3489c64815c7336f!8m2!3d48.8932203!4d2.3422337!9m1!1b1;Orange Duhesme
https://www.google.com/maps/place/Boutique+Orange+Centre+-+Levallois+Perret/@48.8913887,2.2885509,17z/data=!3m1!4b1!4m10!1m2!2m1!1sorange+boutiques+paris!3m6!1s0x0:0x23e5edd894c8105a!8m2!3d48.8913863!4d2.2907352!9m1!1b1;Orange Levallois Perret
https://www.google.com/maps/place/Boutique+Orange+-+Montrouge/@48.8176632,2.3167631,17z/data=!3m1!4b1!4m10!1m2!2m1!1sorange+boutiques+paris!3m6!1s0x0:0x1eff51ec33892db7!8m2!3d48.8176592!4d2.3189521!9m1!1b1;Orange Montrouge
https://www.google.com/maps/place/Boutique+Orange+Op%C3%A9ra+-+Paris+9/@48.8719219,2.330831,17z/data=!3m1!4b1!4m10!1m2!2m1!1sorange+boutiques+paris!3m6!1s0x0:0x3d3fc3ff931cc3c!8m2!3d48.8719203!4d2.3330176!9m1!1b1;Orange Opera
